,dimerization,monomer_complexation,dimer_complexation
aluminum_bromide,-15.099999999627471,-17.399999999441206,-3.0
aluminum_chloride,-18.5,-19.0999999998603,-6.399999999906868
aluminum_nitrate,,-14.599999999976717,
aluminum_phosphate,,-64.09999999997672,
aluminum_trifluoromethanesulfonate,,0.8000000002793968,
boron_trifluoride,,,
copper_ii_chloride,27.299999999813735,-13.700000000186265,-8.0
copper_ii_flouride,58.89999999990687,-16.600000000093132,-0.6999999997206032
copper_ii_sulfate,-66.60000000009313,-24.800000000046566,12.600000000093132
copper_ii_trifluoromethanesulfonate,34.200000000186265,1.0,-14.599999999627471
indium_iii_chloride,-17.899999999906868,-11.5,-1.6000000000931323
lead_ii_bromide,-22.799999999813735,-7.600000000093132,-3.400000000372529
lead_ii_chloride,-19.9000000001397,-7.099999999976717,0.8000000000465661
lead_ii_fluoride,-39.79999999998836,-8.399999999965075,1.0
lead_iv_acetate,,-15.29999999993015,
lithium_bromide,-39.799999999813735,-11.0,-3.8999999999068677
lithium_chloride,-43.5,-8.600000000093132,20.5
lithium_perchlorate,,-10.600000000093132,
lithium_tetrafluroborate,,23.70000000001164,
lithium_trifluoromethanesulfonate,,-8.70000000006985,
magnesium_bromide,,-28.600000000093132,
magnesium_trifluoromethanesulfonate,,-21.600000000093132,
nickel_ii_chloride,-53.3000000002794,-21.200000000186265,-9.100000000093132
scandium_iii_trifluoromethanesulfonate,,-67.20000000018626,
silver_hexafluoroantimonate,,,
silver_trifluoromethanesulfonate,-126.29999999981374,-58.29999999993015,-4.2000000001862645
stannic_chloride,,-4.5,
styrene_oxide,,,
tin_ii_bromide,-13.800000000745058,-4.900000000372529,1.5000000009313226
tin_iv_acetate,,,
tin_iv_fluoride,,-4.699999999953434,
tinii_trifluromethanesulfonate,,55.5,
titanium_tetrachloride,,9.399999999906868,
trimethylaluminum,4.5,-3.1000000000349246,-6.099999999976717
ytterbiumiii_trifluoromethanesulfonate,,,
zinc_bromide,-18.0,-10.399999999441206,1.5
zinc_trifluoromethanesulfonate,,-8.700000000186265,
