nucleophile_eq,lewis_acid_eq,lewis_acid,solvent,conversion,sn2,sn1
2,0.1,LiClO4,ACN,0.66,0.88,0.12
2,0.1,LiOTf,ACN,0.52,0.89,0.11
2,0.1,LiBr,ACN,0.47,0.88,0.12
2,0.1,LiClO4,ACN,0.75,0.94,0.06
2,0.1,AlCl3,ACN,0.34,0.59,0.41
2,0.1,Mg(OTf)2,ACN,1.0,0.71,0.29
2,1.0,LiOTf,ACN,1.0,0.77,0.23
1,1.0,LiOTf,ACN,0.9,0.65,0.35
5,0.1,AlCl3,ACN,0.95,0.62,0.38
7,0.1,AlCl3,ACN,0.82,0.71,0.29
7,0.5,AlCl3,ACN,0.97,0.4,0.6
7,0.8,AlCl3,ACN,0.97,0.37,0.63
7,1.5,AlCl3,ACN,1.0,0.27,0.63
2,0.1,Al(OEt)3,ACN,0.46,0.66,0.34
2,0.5,Al(OEt)3,ACN,0.5,0.61,0.39
2,0.8,Al(OEt)3,ACN,0.54,0.54,0.46
7,0.5,Al(NO3)3,ACN,0.93,0.77,0.23
7,0.5,Al(Me)3,ACN,0.5,0.91,0.09
7,0.5,Al(OTf)3,ACN,0.9,0.73,0.27
7,0.5,Al(OEt)3,ACN,0.63,0.66,0.34
7,0.5,TiCl4,ACN,1.0,0.5,0.5
7,0.5,Mg(OTf)2,ACN,1.0,0.72,0.28
7,0.5,Yb(OTf)3,ACN,1.0,0.72,0.28
7,0.5,Zn(OTf),ACN,0.92,0.78,0.22
7,0.5,AlCl3,ACN,0.91,0.43,0.57
7,0.5,GaBr3,ACN,0.94,0.56,0.44
7,0.5,Sn(OTf)2,ACN,0.47,0.86,0.14
7,0.5,Cu(OTf)2,ACN,0.76,0.71,0.29
7,0.5,Sn(OTf)2,ACN,0.95,0.79,0.21
7,0.5,MgBr2,ACN,1.0,0.69,0.31
7,0.5,ZnBr2,ACN,0.51,0.84,0.16
7,0.5,PbF2,ACN,0.8,0.88,0.12
7,0.5,LiBF4,ACN,0.95,0.88,0.12
7,0.5,LiClO4,ACN,1.0,0.88,0.12
7,0.5,LiBr,ACN,0.99,0.88,0.12
7,0.5,PbCl2,ACN,0.69,0.8,0.2
7,0.5,LiBF4,ACN,0.95,0.88,0.12
7,0.5,LiOTf,ACN,1.0,0.84,0.16
7,0.5,LiClO4,ACN,1.0,0.88,0.12
7,0.5,LiBr,ACN,0.99,0.88,0.12
7,0.5,Sn(OAc)4,ACN,0.65,0.56,0.44
7,0.5,Sn(tBuO)4,ACN,0.92,0.58,0.42
7,0.5,SnF4,ACN,0.95,0.74,0.26
7,0.5,SnCl4,ACN,1.0,0.5,0.5
7,0.5,Sn(OTf)2,ACN,0.95,0.79,0.21
