Label,Styrene Oxide,Nucleophile,Solvent,Lewis Acid,Temperature,Time,Conversion,SN2,SN1
,,,,,,,,,
AG-105-SO-Cy-2eq-Cr-RT-LiClO4-1,1 eq.,Cy: 2 eq.,ACN,LiClO4: 0.1 eq.,RT,24 hrs,66,88,12
AG-103-SO-Cy-2eq-Cr-RT-LiOTf-1,1 eq.,Cy: 2 eq.,ACN,LiOTf: 0.1 eq.,RT,24 hrs,52,89,11
AG-107-SO-Cy-2eq-Cr-RT-LiBr-1,1 eq.,Cy: 2 eq.,ACN,LiBr: 0.1 eq.,RT,24 hrs,47,88,12
,,,,,,,,,
AG-109-SO-Cy-5eq-Cr-RT-LiClO4-1,1 eq.,Cy: 2 eq.,ACN,LiClO4: 0.1 eq.,RT,24 hrs,75,94,6
AG-111-SO-Cy-2eq-Cr-RT-AlCl3-1,1 eq.,Cy: 2 eq.,ACN,AlCl3: 0.1 eq.,RT,24 hrs,34,59,41
AG-113-SO-Cy-2eq-Cr-RT-Mg(OTf)2-1,1 eq.,Cy: 2 eq.,ACN,Mg(OTf)2: 0.1 eq.,RT,24 hrs,100,71,29
,,,,,,,,,
AG-117-SO-Cy-2eq-Cr-RT-LiClO4-1eq-2,1 eq.,Cy: 2 eq.,ACN,LiOTf: 1 eq.,RT,24 hrs,100,77,23
AG-115-SO-Cy-1eq-Cr-RT-LiClO4-1eq-2,1 eq.,Cy: 1 eq.,ACN,LiOTf: 1 eq.,RT,24 hrs,90,65,35
AG-119-SO-Cy-5eq-Cr-RT-AlCl3-1,1 eq.,Cy: 5 eq.,ACN,AlCl3: 0.1 eq.,RT,24 hrs,95,62,38
AG-65-SO-Cy-Cr-RT-NoLA-1,1 eq.,Cy: 1 eq.,ACN,-,RT,24 hrs,3,83,17
AG-125-SO-Cy-2eq-Cr-RT-NoLA-1,1 eq.,Cy: 2 eq.,ACN,-,RT,24 hrs,8,92,8
AG-127-SO-Cy-5eq-Cr-RT-NoLA-1,1 eq.,Cy: 5 eq.,ACN,-,RT,24 hrs,22,95,5
,,,,,,,,,
AG-139-SO-Cy-7eq-Cr-RT-AlCl3-0.1eq-1,1 eq.,Cy: 7 eq.,ACN,AlCl3: 0.1 eq.,RT,24 hrs,82,71,29
AG-141-SO-Cy-7eq-Cr-RT-AlCl3-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,AlCl3: 0.5 eq.,RT,24 hrs,97,40,60
AG-143-SO-Cy-7eq-Cr-RT-AlCl3-0.8eq-1,1 eq.,Cy: 7 eq.,ACN,AlCl3: 0.8 eq.,RT,24 hrs,97,37,63
AG-169-SO-Cy-7eq-Cr-RT-AlCl3-1.5eq-1,1 eq.,Cy: 7 eq.,ACN,AlCl3: 1.5 eq.,RT,24 hrs,100,27,63
AG-MG-145-SO-Cy-2eq-Cr-RT-Al(OEt)3-0.1eq-1,1 eq.,Cy: 2 eq.,ACN,Al(OEt)3: 0.1 eq.,RT,24 hrs,46,66,34
AG-MG-147-SO-Cy-2eq-Cr-RT-Al(OEt)3-0.5eq-1,1 eq.,Cy: 2 eq.,ACN,Al(OEt)3: 0.5 eq.,RT,24 hrs,50,61,39
AG-MG-149-SO-Cy-2eq-Cr-RT-Al(OEt)3-0.8eq-1,1 eq.,Cy: 2 eq.,ACN,Al(OEt)3: 0.8 eq.,RT,24 hrs,54,54,46
,,,,,,,,,
AG-MG-153-SO-Cy-7eq-Cr-RT-Al(NO3)3-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,Al(NO3)3: 0.5 eq.,RT,24 hrs,93,77,23
AG-MG-155-SO-Cy-7eq-Cr-RT-Al(Me)3-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,Al(Me)3: 0.5 eq.,RT,24 hrs,50,91,9
AG-MG-151-SO-Cy-7eq-Cr-RT-Al(OTf)3-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,Al(OTf)3: 0.5 eq.,RT,24 hrs,90,73,27
AG-157-SO-Cy-7eq-Cr-RT-Al(OEt)3-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,Al(OEt)3: 0.5 eq.,RT,24 hrs,63,66,34
AG-159-SO-Cy-7eq-Cr-RT-TiCl4-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,TiCl4: 0.5 eq,RT,24 hrs,100,50,50
,,,,,,,,,
AG-163-SO-Cy-7eq-Cr-RT-Mg(OTf)3-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,Mg(OTf)2: 0.5 eq,RT,24 hrs,100,72,28
AG-165-SO-Cy-7eq-Cr-RT-Yb(Otf)3-0.5eq-1,1 eq.,Cy: 7 eq.,ACN,Yb(OTf)3: 0.5 eq,RT,24 hrs,100,72,28
